,taxonID,count,model
0,ACRU,18935.0,06ee8e987b014a4d9b6b824ad6d28d83
1,CAGL8,61533.0,06ee8e987b014a4d9b6b824ad6d28d83
2,DEAD,159698.0,06ee8e987b014a4d9b6b824ad6d28d83
3,LIST2,74171.0,06ee8e987b014a4d9b6b824ad6d28d83
4,MAGNO,7399.0,06ee8e987b014a4d9b6b824ad6d28d83
5,NYSY,137789.0,06ee8e987b014a4d9b6b824ad6d28d83
6,PICL,265527.0,06ee8e987b014a4d9b6b824ad6d28d83
7,PIEL,210102.0,06ee8e987b014a4d9b6b824ad6d28d83
8,PIPA2,1139611.0,06ee8e987b014a4d9b6b824ad6d28d83
9,PITA,366654.0,06ee8e987b014a4d9b6b824ad6d28d83
10,QUGE2,528024.0,06ee8e987b014a4d9b6b824ad6d28d83
11,QUHE2,1345485.0,06ee8e987b014a4d9b6b824ad6d28d83
12,QULA2,286513.0,06ee8e987b014a4d9b6b824ad6d28d83
13,QUNI,150587.0,06ee8e987b014a4d9b6b824ad6d28d83
14,QUVI,195450.0,06ee8e987b014a4d9b6b824ad6d28d83
0,ACRU,22830.0,ac7b4194811c4bdd9291892bccc4e661
1,CAGL8,82153.0,ac7b4194811c4bdd9291892bccc4e661
2,DEAD,158822.0,ac7b4194811c4bdd9291892bccc4e661
3,LIST2,97230.0,ac7b4194811c4bdd9291892bccc4e661
4,MAGNO,10353.0,ac7b4194811c4bdd9291892bccc4e661
5,NYSY,126292.0,ac7b4194811c4bdd9291892bccc4e661
6,PICL,230100.0,ac7b4194811c4bdd9291892bccc4e661
7,PIEL,206938.0,ac7b4194811c4bdd9291892bccc4e661
8,PIPA2,1145424.0,ac7b4194811c4bdd9291892bccc4e661
9,PITA,343418.0,ac7b4194811c4bdd9291892bccc4e661
10,QUGE2,584764.0,ac7b4194811c4bdd9291892bccc4e661
11,QUHE2,1297943.0,ac7b4194811c4bdd9291892bccc4e661
12,QULA2,273528.0,ac7b4194811c4bdd9291892bccc4e661
13,QUNI,179010.0,ac7b4194811c4bdd9291892bccc4e661
14,QUVI,154737.0,ac7b4194811c4bdd9291892bccc4e661
0,ACRU,4334.0,b629e5365a104320bcec03843e9dd6fd
1,CAGL8,92287.0,b629e5365a104320bcec03843e9dd6fd
2,DEAD,159698.0,b629e5365a104320bcec03843e9dd6fd
3,LIST2,66021.0,b629e5365a104320bcec03843e9dd6fd
4,MAGNO,3906.0,b629e5365a104320bcec03843e9dd6fd
5,NYSY,114771.0,b629e5365a104320bcec03843e9dd6fd
6,PICL,247737.0,b629e5365a104320bcec03843e9dd6fd
7,PIEL,179310.0,b629e5365a104320bcec03843e9dd6fd
8,PIPA2,1192118.0,b629e5365a104320bcec03843e9dd6fd
9,PITA,351339.0,b629e5365a104320bcec03843e9dd6fd
10,QUGE2,553674.0,b629e5365a104320bcec03843e9dd6fd
11,QUHE2,1231033.0,b629e5365a104320bcec03843e9dd6fd
12,QULA2,298234.0,b629e5365a104320bcec03843e9dd6fd
13,QUNI,197081.0,b629e5365a104320bcec03843e9dd6fd
14,QUVI,255935.0,b629e5365a104320bcec03843e9dd6fd
0,ACRU,7115.0,5ac9afabe3f6402a9c312ba4cee5160a
1,CAGL8,96893.0,5ac9afabe3f6402a9c312ba4cee5160a
2,DEAD,159698.0,5ac9afabe3f6402a9c312ba4cee5160a
3,LIST2,115763.0,5ac9afabe3f6402a9c312ba4cee5160a
4,MAGNO,3369.0,5ac9afabe3f6402a9c312ba4cee5160a
5,NYSY,136645.0,5ac9afabe3f6402a9c312ba4cee5160a
6,PICL,247594.0,5ac9afabe3f6402a9c312ba4cee5160a
7,PIEL,184563.0,5ac9afabe3f6402a9c312ba4cee5160a
8,PIPA2,1131721.0,5ac9afabe3f6402a9c312ba4cee5160a
9,PITA,442820.0,5ac9afabe3f6402a9c312ba4cee5160a
10,QUGE2,594155.0,5ac9afabe3f6402a9c312ba4cee5160a
11,QUHE2,1143798.0,5ac9afabe3f6402a9c312ba4cee5160a
12,QULA2,282058.0,5ac9afabe3f6402a9c312ba4cee5160a
13,QUNI,157989.0,5ac9afabe3f6402a9c312ba4cee5160a
14,QUVI,243297.0,5ac9afabe3f6402a9c312ba4cee5160a
0,ACRU,18868.0,46aff76fe2974b72a5d001c555d7c03a
1,CAGL8,66105.0,46aff76fe2974b72a5d001c555d7c03a
2,DEAD,159698.0,46aff76fe2974b72a5d001c555d7c03a
3,LIST2,75621.0,46aff76fe2974b72a5d001c555d7c03a
4,MAGNO,7029.0,46aff76fe2974b72a5d001c555d7c03a
5,NYSY,154476.0,46aff76fe2974b72a5d001c555d7c03a
6,PICL,266310.0,46aff76fe2974b72a5d001c555d7c03a
7,PIEL,224876.0,46aff76fe2974b72a5d001c555d7c03a
8,PIPA2,1181990.0,46aff76fe2974b72a5d001c555d7c03a
9,PITA,329803.0,46aff76fe2974b72a5d001c555d7c03a
10,QUGE2,374070.0,46aff76fe2974b72a5d001c555d7c03a
11,QUHE2,1467897.0,46aff76fe2974b72a5d001c555d7c03a
12,QULA2,272197.0,46aff76fe2974b72a5d001c555d7c03a
13,QUNI,114188.0,46aff76fe2974b72a5d001c555d7c03a
14,QUVI,234350.0,46aff76fe2974b72a5d001c555d7c03a
0,ACRU,1605.0,63bdab99d6874f038212ac301439e9cc
1,CAGL8,46657.0,63bdab99d6874f038212ac301439e9cc
2,DEAD,159698.0,63bdab99d6874f038212ac301439e9cc
3,LIST2,75766.0,63bdab99d6874f038212ac301439e9cc
4,MAGNO,725.0,63bdab99d6874f038212ac301439e9cc
5,NYSY,123570.0,63bdab99d6874f038212ac301439e9cc
6,PICL,212405.0,63bdab99d6874f038212ac301439e9cc
7,PIEL,180003.0,63bdab99d6874f038212ac301439e9cc
8,PIPA2,1213494.0,63bdab99d6874f038212ac301439e9cc
9,PITA,337464.0,63bdab99d6874f038212ac301439e9cc
10,QUGE2,524171.0,63bdab99d6874f038212ac301439e9cc
11,QUHE2,1447244.0,63bdab99d6874f038212ac301439e9cc
12,QULA2,283358.0,63bdab99d6874f038212ac301439e9cc
13,QUNI,157406.0,63bdab99d6874f038212ac301439e9cc
14,QUVI,183912.0,63bdab99d6874f038212ac301439e9cc
0,ACRU,9301.0,c871ed25dc1c4a3e97cf3b723cf88bb6
1,CAGL8,67117.0,c871ed25dc1c4a3e97cf3b723cf88bb6
2,DEAD,159698.0,c871ed25dc1c4a3e97cf3b723cf88bb6
3,LIST2,78768.0,c871ed25dc1c4a3e97cf3b723cf88bb6
4,MAGNO,4705.0,c871ed25dc1c4a3e97cf3b723cf88bb6
5,NYSY,120307.0,c871ed25dc1c4a3e97cf3b723cf88bb6
6,PICL,211524.0,c871ed25dc1c4a3e97cf3b723cf88bb6
7,PIEL,212866.0,c871ed25dc1c4a3e97cf3b723cf88bb6
8,PIPA2,1189413.0,c871ed25dc1c4a3e97cf3b723cf88bb6
9,PITA,375857.0,c871ed25dc1c4a3e97cf3b723cf88bb6
10,QUGE2,544955.0,c871ed25dc1c4a3e97cf3b723cf88bb6
11,QUHE2,1194642.0,c871ed25dc1c4a3e97cf3b723cf88bb6
12,QULA2,297071.0,c871ed25dc1c4a3e97cf3b723cf88bb6
13,QUNI,197787.0,c871ed25dc1c4a3e97cf3b723cf88bb6
14,QUVI,283467.0,c871ed25dc1c4a3e97cf3b723cf88bb6
0,ACRU,22505.0,6d45510824d6442c987b500a156b77d6
1,CAGL8,71490.0,6d45510824d6442c987b500a156b77d6
2,DEAD,159698.0,6d45510824d6442c987b500a156b77d6
3,LIST2,63778.0,6d45510824d6442c987b500a156b77d6
4,MAGNO,8595.0,6d45510824d6442c987b500a156b77d6
5,NYSY,140067.0,6d45510824d6442c987b500a156b77d6
6,PICL,223486.0,6d45510824d6442c987b500a156b77d6
7,PIEL,245614.0,6d45510824d6442c987b500a156b77d6
8,PIPA2,1185302.0,6d45510824d6442c987b500a156b77d6
9,PITA,339347.0,6d45510824d6442c987b500a156b77d6
10,QUGE2,541875.0,6d45510824d6442c987b500a156b77d6
11,QUHE2,1282197.0,6d45510824d6442c987b500a156b77d6
12,QULA2,255194.0,6d45510824d6442c987b500a156b77d6
13,QUNI,120431.0,6d45510824d6442c987b500a156b77d6
14,QUVI,287899.0,6d45510824d6442c987b500a156b77d6
0,ACRU,14696.0,83f6ede4f90b44ebac6c1ac271ea0939
1,CAGL8,69817.0,83f6ede4f90b44ebac6c1ac271ea0939
2,DEAD,159698.0,83f6ede4f90b44ebac6c1ac271ea0939
3,LIST2,72475.0,83f6ede4f90b44ebac6c1ac271ea0939
4,MAGNO,3006.0,83f6ede4f90b44ebac6c1ac271ea0939
5,NYSY,139085.0,83f6ede4f90b44ebac6c1ac271ea0939
6,PICL,238102.0,83f6ede4f90b44ebac6c1ac271ea0939
7,PIEL,173936.0,83f6ede4f90b44ebac6c1ac271ea0939
8,PIPA2,1191843.0,83f6ede4f90b44ebac6c1ac271ea0939
9,PITA,371153.0,83f6ede4f90b44ebac6c1ac271ea0939
10,QUGE2,544082.0,83f6ede4f90b44ebac6c1ac271ea0939
11,QUHE2,1323168.0,83f6ede4f90b44ebac6c1ac271ea0939
12,QULA2,275754.0,83f6ede4f90b44ebac6c1ac271ea0939
13,QUNI,173595.0,83f6ede4f90b44ebac6c1ac271ea0939
14,QUVI,197068.0,83f6ede4f90b44ebac6c1ac271ea0939
0,ACRU,7524.0,47ee5858b1104214be178389c13bd025
1,CAGL8,101578.0,47ee5858b1104214be178389c13bd025
2,DEAD,159698.0,47ee5858b1104214be178389c13bd025
3,LIST2,70207.0,47ee5858b1104214be178389c13bd025
4,MAGNO,8466.0,47ee5858b1104214be178389c13bd025
5,NYSY,161657.0,47ee5858b1104214be178389c13bd025
6,PICL,235102.0,47ee5858b1104214be178389c13bd025
7,PIEL,213327.0,47ee5858b1104214be178389c13bd025
8,PIPA2,1162478.0,47ee5858b1104214be178389c13bd025
9,PITA,405511.0,47ee5858b1104214be178389c13bd025
10,QUGE2,522184.0,47ee5858b1104214be178389c13bd025
