,taxonID,count,model
0,ACRU,15292.0,06ee8e987b014a4d9b6b824ad6d28d83
1,CAGL8,29075.0,06ee8e987b014a4d9b6b824ad6d28d83
2,DEAD,84504.0,06ee8e987b014a4d9b6b824ad6d28d83
3,LIST2,49145.0,06ee8e987b014a4d9b6b824ad6d28d83
4,MAGNO,2531.0,06ee8e987b014a4d9b6b824ad6d28d83
5,NYSY,99926.0,06ee8e987b014a4d9b6b824ad6d28d83
6,PICL,84044.0,06ee8e987b014a4d9b6b824ad6d28d83
7,PIEL,100014.0,06ee8e987b014a4d9b6b824ad6d28d83
8,PIPA2,870970.0,06ee8e987b014a4d9b6b824ad6d28d83
9,PITA,104447.0,06ee8e987b014a4d9b6b824ad6d28d83
10,QUGE2,257215.0,06ee8e987b014a4d9b6b824ad6d28d83
11,QUHE2,504094.0,06ee8e987b014a4d9b6b824ad6d28d83
12,QULA2,180929.0,06ee8e987b014a4d9b6b824ad6d28d83
13,QUNI,80371.0,06ee8e987b014a4d9b6b824ad6d28d83
14,QUVI,83768.0,06ee8e987b014a4d9b6b824ad6d28d83
0,ACRU,17660.0,ac7b4194811c4bdd9291892bccc4e661
1,CAGL8,30429.0,ac7b4194811c4bdd9291892bccc4e661
2,DEAD,83858.0,ac7b4194811c4bdd9291892bccc4e661
3,LIST2,64667.0,ac7b4194811c4bdd9291892bccc4e661
4,MAGNO,5286.0,ac7b4194811c4bdd9291892bccc4e661
5,NYSY,98929.0,ac7b4194811c4bdd9291892bccc4e661
6,PICL,73888.0,ac7b4194811c4bdd9291892bccc4e661
7,PIEL,89648.0,ac7b4194811c4bdd9291892bccc4e661
8,PIPA2,909462.0,ac7b4194811c4bdd9291892bccc4e661
9,PITA,87484.0,ac7b4194811c4bdd9291892bccc4e661
10,QUGE2,273223.0,ac7b4194811c4bdd9291892bccc4e661
11,QUHE2,442376.0,ac7b4194811c4bdd9291892bccc4e661
12,QULA2,166316.0,ac7b4194811c4bdd9291892bccc4e661
13,QUNI,100596.0,ac7b4194811c4bdd9291892bccc4e661
14,QUVI,68567.0,ac7b4194811c4bdd9291892bccc4e661
0,ACRU,2496.0,b629e5365a104320bcec03843e9dd6fd
1,CAGL8,43866.0,b629e5365a104320bcec03843e9dd6fd
2,DEAD,84734.0,b629e5365a104320bcec03843e9dd6fd
3,LIST2,44560.0,b629e5365a104320bcec03843e9dd6fd
4,MAGNO,1625.0,b629e5365a104320bcec03843e9dd6fd
5,NYSY,89353.0,b629e5365a104320bcec03843e9dd6fd
6,PICL,68007.0,b629e5365a104320bcec03843e9dd6fd
7,PIEL,98826.0,b629e5365a104320bcec03843e9dd6fd
8,PIPA2,928773.0,b629e5365a104320bcec03843e9dd6fd
9,PITA,109131.0,b629e5365a104320bcec03843e9dd6fd
10,QUGE2,253821.0,b629e5365a104320bcec03843e9dd6fd
11,QUHE2,427846.0,b629e5365a104320bcec03843e9dd6fd
12,QULA2,179950.0,b629e5365a104320bcec03843e9dd6fd
13,QUNI,107287.0,b629e5365a104320bcec03843e9dd6fd
14,QUVI,106050.0,b629e5365a104320bcec03843e9dd6fd
0,ACRU,5300.0,5ac9afabe3f6402a9c312ba4cee5160a
1,CAGL8,40147.0,5ac9afabe3f6402a9c312ba4cee5160a
2,DEAD,84499.0,5ac9afabe3f6402a9c312ba4cee5160a
3,LIST2,74167.0,5ac9afabe3f6402a9c312ba4cee5160a
4,MAGNO,1612.0,5ac9afabe3f6402a9c312ba4cee5160a
5,NYSY,94489.0,5ac9afabe3f6402a9c312ba4cee5160a
6,PICL,83084.0,5ac9afabe3f6402a9c312ba4cee5160a
7,PIEL,91046.0,5ac9afabe3f6402a9c312ba4cee5160a
8,PIPA2,883414.0,5ac9afabe3f6402a9c312ba4cee5160a
9,PITA,130365.0,5ac9afabe3f6402a9c312ba4cee5160a
10,QUGE2,289346.0,5ac9afabe3f6402a9c312ba4cee5160a
11,QUHE2,402928.0,5ac9afabe3f6402a9c312ba4cee5160a
12,QULA2,173875.0,5ac9afabe3f6402a9c312ba4cee5160a
13,QUNI,83121.0,5ac9afabe3f6402a9c312ba4cee5160a
14,QUVI,108932.0,5ac9afabe3f6402a9c312ba4cee5160a
0,ACRU,13506.0,46aff76fe2974b72a5d001c555d7c03a
1,CAGL8,24076.0,46aff76fe2974b72a5d001c555d7c03a
2,DEAD,84504.0,46aff76fe2974b72a5d001c555d7c03a
3,LIST2,48929.0,46aff76fe2974b72a5d001c555d7c03a
4,MAGNO,3069.0,46aff76fe2974b72a5d001c555d7c03a
5,NYSY,111266.0,46aff76fe2974b72a5d001c555d7c03a
6,PICL,87074.0,46aff76fe2974b72a5d001c555d7c03a
7,PIEL,108889.0,46aff76fe2974b72a5d001c555d7c03a
8,PIPA2,886063.0,46aff76fe2974b72a5d001c555d7c03a
9,PITA,99637.0,46aff76fe2974b72a5d001c555d7c03a
10,QUGE2,194140.0,46aff76fe2974b72a5d001c555d7c03a
11,QUHE2,541108.0,46aff76fe2974b72a5d001c555d7c03a
12,QULA2,169818.0,46aff76fe2974b72a5d001c555d7c03a
13,QUNI,63259.0,46aff76fe2974b72a5d001c555d7c03a
14,QUVI,110987.0,46aff76fe2974b72a5d001c555d7c03a
0,ACRU,856.0,63bdab99d6874f038212ac301439e9cc
1,CAGL8,20508.0,63bdab99d6874f038212ac301439e9cc
2,DEAD,84504.0,63bdab99d6874f038212ac301439e9cc
3,LIST2,49444.0,63bdab99d6874f038212ac301439e9cc
4,MAGNO,345.0,63bdab99d6874f038212ac301439e9cc
5,NYSY,90831.0,63bdab99d6874f038212ac301439e9cc
6,PICL,66568.0,63bdab99d6874f038212ac301439e9cc
7,PIEL,86521.0,63bdab99d6874f038212ac301439e9cc
8,PIPA2,893771.0,63bdab99d6874f038212ac301439e9cc
9,PITA,106794.0,63bdab99d6874f038212ac301439e9cc
10,QUGE2,257246.0,63bdab99d6874f038212ac301439e9cc
11,QUHE2,524810.0,63bdab99d6874f038212ac301439e9cc
12,QULA2,178618.0,63bdab99d6874f038212ac301439e9cc
13,QUNI,92312.0,63bdab99d6874f038212ac301439e9cc
14,QUVI,93197.0,63bdab99d6874f038212ac301439e9cc
0,ACRU,7508.0,c871ed25dc1c4a3e97cf3b723cf88bb6
1,CAGL8,30390.0,c871ed25dc1c4a3e97cf3b723cf88bb6
2,DEAD,84504.0,c871ed25dc1c4a3e97cf3b723cf88bb6
3,LIST2,48209.0,c871ed25dc1c4a3e97cf3b723cf88bb6
4,MAGNO,2090.0,c871ed25dc1c4a3e97cf3b723cf88bb6
5,NYSY,87254.0,c871ed25dc1c4a3e97cf3b723cf88bb6
6,PICL,67484.0,c871ed25dc1c4a3e97cf3b723cf88bb6
7,PIEL,106046.0,c871ed25dc1c4a3e97cf3b723cf88bb6
8,PIPA2,885770.0,c871ed25dc1c4a3e97cf3b723cf88bb6
9,PITA,119893.0,c871ed25dc1c4a3e97cf3b723cf88bb6
10,QUGE2,264626.0,c871ed25dc1c4a3e97cf3b723cf88bb6
11,QUHE2,418269.0,c871ed25dc1c4a3e97cf3b723cf88bb6
12,QULA2,187409.0,c871ed25dc1c4a3e97cf3b723cf88bb6
13,QUNI,109662.0,c871ed25dc1c4a3e97cf3b723cf88bb6
14,QUVI,127211.0,c871ed25dc1c4a3e97cf3b723cf88bb6
0,ACRU,17627.0,6d45510824d6442c987b500a156b77d6
1,CAGL8,30593.0,6d45510824d6442c987b500a156b77d6
2,DEAD,84504.0,6d45510824d6442c987b500a156b77d6
3,LIST2,40126.0,6d45510824d6442c987b500a156b77d6
4,MAGNO,3912.0,6d45510824d6442c987b500a156b77d6
5,NYSY,100899.0,6d45510824d6442c987b500a156b77d6
6,PICL,74001.0,6d45510824d6442c987b500a156b77d6
7,PIEL,109305.0,6d45510824d6442c987b500a156b77d6
8,PIPA2,889226.0,6d45510824d6442c987b500a156b77d6
